IDHASH,MIN_CALIF_ADMIS,MAX_CALIF_ADMIS,PROM_CALIF_ADMIS,CANT_ADMIS
008703C85FCC7C4F310385F53082E1825EDC19FAE66A4582AE329C51C504B499738B798F0BD4C5589B2109BBE5E438E9C8C5A5D6AED717D415CF00AD1E2F7418,14.08,14.08,14.08,1
008942E502808FB7EC8B7D00234954A4DB227E50C2501187BED60C913DBABBA132282FE201A8792750406D185615FC5F4B729E4A4757CF8BFE7BD7ED9A29028C,7.319,13.312,9.463666666666667,3
008AB2FC4F6CCDA184874F3FE0999911A65902D6DF2D3B1FF12D79548D76E5E8A995B0197CC1C5894C028D63C3180F37BD261582732A210A9BFAC013DC657C5C,4.206,5.711,4.958500000000001,2
008ABD57DDDF038F718E2B78A13BEF016234DA59B7C5956EF85CBA5F7B2FEEAC748532F5A0C73ED59B008AB96CB27EC47C711D9ACD661993A9FD3CFB90DB53FD,12.476,13.857,13.1665,2
008D90A7DDD1994D64467EB75D806FA2E66FBFFEC4862941CB6BAC9D0967FA5D60099954161A9DABA2C41E2F42616C3579B3D9CB3BD3E390F39F6F876A5AE353,8.646,14.986,11.816,2
0090FB96A7F8867FDEA9DC172993CBCE4D04F36CA6F0A0433B13793F5F64925D4CA7D4C100EFF4ADBD5700962D040DB707AA4B9A147601CA8CDD1CDBBAE17982,4.147,4.147,4.147,1
0093DAB2014D060E8AB996B491431736A1175F60DD87A915B3E1488705B8892A869DE812E43156D0B4385B08101F9A906635D5FC5661B16EC252E601E80573C6,11.74,11.74,11.74,1
0094750AF7804A0A635C5285C2F97CCEDE028386D3650F990BD1EA050E4BB1BEAC820A485358360630267D59AC923589F56FEA2E1F575629D120F52642E7E0E1,4.486,4.486,4.486,1
00976CA1EE0816F54116F897C537D0AF350715D2ECDC265E997DF548D8469BBEF805F2EF6B2E4C27F66DAC4BA44AB1482786ECE8BA87AE02CD91C098255165ED,2.13,2.13,2.13,1
009E2294490B24AEEDC6939FE4B363598CA1F7FCE562B1089F06B6EB1CDA55345F49D4EB1C07444326F9D0D2392D9DBBA17A26DD0F33ADD84BC7A0662C1D0937,3.693,12.045,8.503,3
00A01FC722404C30E137973AFE91B27E7F35098D5BC289D98F6E41C040948E079A5DC03DFC691222B687FDFA4A7EB3B53A5692A057BB8F876D3EC2C52F95995E,17.79,17.79,17.79,1
00A2E8D90BA8A579299D7717B1ED0BAFA7A6E83D1CD730F31630B79F18EE03F7AF288D1C32F9BBF12B936D217837A83C7B6CEFFAC7F34675AD9A530D21CBD246,5.459,5.459,5.459,1
00A8E335CADAD4E3278C701E221B4170AF287F85DE8766B5A237A1C458DF3217134D7F4AA8B427123DB1CB4DDE35DAF090624CA78BFB95292E56ED51ABD060CD,4.805,11.522,8.82,3
00A96C1F882AF0E28AA0BBBAC5E972497435E9DBCC13AC1EDFACDADB6BEDFF34DF3A946EA1FE4DE54DEBADC6D5EE498084B5C47631D92D55779C72C951EA0D5A,7.003,7.003,7.003,1
00AEDF7DD6608AF224BF6540E9C4FD2D28122AC838BCF2689472C8F7ED68F5F47762AD9B1B93D47B90E27EA7654C2A56F05D153BA662BBFDE3B38EB54BBE7178,9.737,9.737,9.737,1
