IDHASH,MIN_CALIF_CEPRE,MAX_CALIF_CEPRE,PROM_CALIF_CEPRE,CANT_CEPRE
01A3ACC5A8FB18C16287FCE443E17187036FF24A1BB53741E66FEA2BB1F563C9A9FD0AAFFC6DFAFD696208F3E692B2B5E96819B49A1E73CC40D8314DABADEDEA,3.694,3.694,3.694,1
01A4D76135CE32AA5A9300B099722F69CECF9A836261EBD068AD4FEE4CA39B50CC7DE6BA0F219B57460C4FDFB15674476F4B08FF8A770510DAF02BE0769419DC,3.106,11.948,8.436666666666667,3
01A4E19EDFD7E0807A31E254CAEB0B1EB926E1FBDF87C4CDF8A3DD7DB9AB1B6E2B1B859FF37A8310CCD6D459B53FC8C7E47D5FA649ECB471F8EAF60711D5C347,1.493,1.493,1.493,1
01B49F67FDD53887F24050ADF447DE91B5D4B1994B3A328208D0F847703F1AE2C0E1EFBF21CD0F7453E4F5BFB9A99285985ABF68511CEB929123DC158EE04880,10.548,10.548,10.548,1
01B5193F1C04F1804962429FEEBF01A55EA6BFF8D34140636CF18FA8823623183B2A12ABB67F7CEB24F49051D18E2987BC3A1CB6F57CD2076533496863BF5296,2.097,2.097,2.097,1
01B5D9A1DE06FDDBF19DCB745ACBEED6CEBAEEAC6E72C6B84FAA4F2B4E0047010CF3084AA34ADB78532C0A85C3B281023CF08F1935EFE8F4A6B551112DFC8FFD,7.93,8.823,8.3765,2
01BA1C2E1F1923468C33190A86F182308C001F1AFB15279C1B56425B362F89A5551E9B8D312534A8086964A4CB0E732EBAA528F8B8D8E10372EC0E0B08D97893,3.653,8.767,5.71325,4
01BAFAFB71353FF664056B2905D3726333E43B528B2F69B3BA67226ACEFB065A7AF705D5B3896AC26460DFAAE78118057459804E3C3FEF161A705F999A87A06D,0.0,0.87,0.4343333333333333,3
01BBFD0FCEC7786E718D7ABA82C970F64C659A4A93F9B8F4211F34972E12CE5F6ACE90F93C954B0E00C19D921429FA1755955482532B5636FB2BDA0CCD580084,8.972,13.353,11.1625,2
01BCF63766E0BC21C121E0A1CC1D6898318EFDB646BDFE6D4A6893B291C017824BD88BFD318B3BDBCB05690C1AE6A6C3D7AC6F852C87EE050F379BD6A07D29F5,12.197,12.197,12.197,1
01BD1416CC20639FFADF821484F8E7A2C13234CE7FB5252742D8B60379D29B1AEDB10D55E2A88A8E8A411C40CC4EBB22765AA1A7266A322801ACE353B79985B7,3.358,3.358,3.358,1
01BD92767E17A27070789CF2E442CDF56BED1E9E9A5788C9F374BF610D09A0EAD551B196103298319CBFE3236F416532B0C3F01C43C221FE38A966DFC5FA8C60,13.146,15.838,14.620333333333335,3
01C10C681367CE803943DE1E6F2E0889A6919A09DB746BF291CDE07EE0E5FC30CE6E9567EB28CE232364033C95A0214A17BE3888A2DDA456D6090BA79F7BC512,2.609,4.063,3.336,2
01C11D552ED9455C3B1F0FFEFAC0277B3FC026A0AFD444E2E94EA8BE79405ED156A0165652F9060DDD548C67F12AD9EF6FD4D56AE686F4B47F93CBE1E39DD999,0.0,0.0,0.0,1
01C7A44723A3732EF2312E374C7ED3A16A8004F70BC4EE14697D7F7E97BD949DE00304ECAAB592E0DB39EAC53AFE06E0549D70E5455FED0F7C81837840DFA35D,5.229,6.112,5.6705000000000005,2
01CA9F29EFD789E0CF033FA58398C6C868389A636C64C782317903D58060A3BE920800221B3BBEFBCF75657471DD7294A798C600A276BDC0C4D0D39B1B308818,2.955,2.955,2.955,1
01CC8D526ECEAACD219FF3ED75BEEE48662224FEE230173035BA2526E09F373C6CB31864FA27E299F5ED48D30F28BB1D1BA1BC09ED489F36E95408CD3AB94B1D,3.733,3.733,3.733,1
01CCFB451614F455FC9C4CE49017D9014C4DFF82DCE868FD071E5BB497435338D92173C2987EA5BCD30681EF224FEA865A9F391121BB03BB0AACADC3B023D7DC,13.94,13.94,13.94,1
01CF6CA867AC49DD58F64272921BD38AD07DCD44C84B4930B8ABCBE87355DC4B4CADE0F5952BF40D7CFDA81C80A3D8EA84D7CC3A4EEAA11B743AE10A26F3F390,6.011,6.011,6.011,1
