COLEGIO,COLEGIO_PAIS,COLEGIO_DEPA,COLEGIO_PROV,COLEGIO_DIST
3049 IMPERIO DEL TAHUANTINSUYO,PERÚ,LIMA,LIMA METROPOLITANA,INDEPENDENCIA
3054 LA FLOR,PERÚ,LIMA,LIMA METROPOLITANA,CARABAYLLO
3054 LA FLOR,PERÚ,LIMA,LIMA METROPOLITANA,CARABAYLLO
3055 TUPAC AMARU,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
3056 GRAN BRETAÑA,PERÚ,LIMA,LIMA METROPOLITANA,INDEPENDENCIA
3061 JORGE CHAVEZ DARTNELL,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
3066 SEÑOR DE LOS MILAGROS,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
3069 Generalísimo José de San Martín,PERÚ,LIMA,LIMA METROPOLITANA,ANCON
3069 GENERALISIMO JOSE DE SAN MARTIN,PERÚ,LIMA,LIMA METROPOLITANA,ANCON
3069 Glmo. Don José de San Martín,PERÚ,LIMA,LIMA METROPOLITANA,ANCON
3070 MARIA DE LOS ANGELES,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
3071 MANUEL GARCIA CERRON,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
3071 MANUEL GARCIA CERRON,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
3073 EL DORADO,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
3081 ALMIRANTE MIGUEL GRAU SEMINARIO,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
3084 ENRIQUE GUZMAN Y VALLE,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
3084 ENRIQUE GUZMAN Y VALLE,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
3089 LOS ANGELES,PERÚ,CALLAO,CALLAO,VENTANILLA
3092 KUMAMOTO I,0,0,0,0
3095 PERU KAWACHI,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
3096 FRANZ TAMAYO SOLARES,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
3098 CESAR VALLEJO,PERÚ,LIMA,LIMA METROPOLITANA,ANCON
32 MARIANO H. CORNEJO,PERÚ,PUNO,SAN ROMÁN,JULIACA
32 MARIANO H. CORNEJO,PERÚ,PUNO,SAN ROMÁN,JULIACA
34022 ISAAC NEWTON,0,0,0,0
35756 COLUMNA PASCO,PERÚ,PASCO,OXAPAMPA,YANACANCHA
3701 FE Y ALEGRIA 1,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
3704 SAN COLUMBANO,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
3705 EL BUEN PASTOR,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
3709 NUESTRA SEÑORA DEL ROSARIO,PERÚ,LIMA,LIMA METROPOLITANA,INDEPENDENCIA
3709 NUESTRA SEÑORA DEL ROSARIO,PERÚ,0,0,0
3709 NUESTRA SEÑORA DEL ROSARIO,PERÚ,LIMA,LIMA METROPOLITANA,INDEPENDENCIA
3709 NUESTRA SEÑORA DEL ROSARIO,PERÚ,LORETO,MAYNAS,BELEN
3709 Nuestra Señora del Rosario,PERÚ,LIMA,LIMA METROPOLITANA,INDEPENDENCIA
3710 SAGRADOS CORAZONES,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
3711 FE Y ALEGRIA 12,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
3711 FE Y ALEGRIA 12,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
3719 SANTISIMA TRINIDAD,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
3720 NUESTRA SEÑORA DE LA MISERICORDIA,PERÚ,CALLAO,CALLAO,VENTANILLA
3721 SANTA ROSA,PERÚ,LIMA,LIMA METROPOLITANA,ANCON
4001 DOS DE MAYO,PERÚ,CALLAO,CALLAO,CALLAO
40024 MANUEL GONZALES PRADA,PERÚ,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE
